,Equity
657,10010.267847805608
658,10009.711336873532
659,10009.979442985043
660,10010.076970150363
661,10009.61707611606
662,10008.450345719699
663,10009.586696095817
664,10010.442483263381
665,10009.840729080664
666,10010.345702800632
667,10010.806401848595
668,10010.794834059829
669,10011.275067351433
670,10011.313165571051
671,10011.259748299706
672,10011.836136039616
673,10010.980737827078
674,10011.42263152849
675,10011.207343472031
676,10011.297721558183
677,10012.056882487997
678,10012.616364042116
679,10012.811445680887
680,10012.790184344989
681,10013.079560441869
682,10012.601313478235
683,10014.691767300948
684,10014.130284315519
685,10014.186752286714
686,10014.364214748372
687,10015.695782602801
688,10015.234577614232
689,10015.517709470238
690,10014.925879732085
691,10014.599673321694
692,10015.015906384595
693,10015.106203238258
694,10014.81999539473
695,10014.737187551607
696,10014.951500558618
697,10014.852532962637
698,10015.006088718403
699,10016.573327898788
700,10017.13156560329
701,10016.368683102708
702,10016.449163339017
703,10016.123730844281
704,10016.087983370466
705,10015.678595118567
706,10014.87839238552
707,10015.091239270218
708,10014.218288236674
709,10014.270658190115
710,10011.886777505588
711,10012.97530140827
712,10017.919620156617
713,10017.416042448634
714,10018.836042996458
715,10019.20316322446
716,10019.953820049133
717,10021.573298177043
718,10020.754872961039
719,10020.942031524239
720,10021.780926076744
721,10020.925406141703
722,10021.35736459977
723,10021.176138718516
724,10021.254199872365
725,10021.086000615374
726,10021.633719803756
727,10021.74772548013
728,10023.664637187581
729,10023.138976659333
730,10022.873705874572
731,10022.501127815847
732,10021.966304746735
733,10022.20546261931
734,10022.080463293627
735,10023.56585986932
736,10022.27616177784
737,10022.572437472769
738,10021.916541869117
739,10023.23233830683
740,10024.115859678064
741,10023.9226764067
742,10024.00831046297
743,10023.712814678876
744,10023.806343930675
745,10023.934503275306
746,10024.464311280306
747,10026.01017039113
748,10026.025402440897
749,10026.55761318757
750,10026.591538447963
751,10025.941702279868
752,10025.418377554624
753,10025.705376861446
754,10025.305495451972
755,10022.866455520432
756,10022.549485239319
757,10022.010982294894
758,10020.725731482346
759,10020.262583059623
760,10020.431133780094
761,10019.99741058593
762,10020.000170870084
763,10018.18293468205
764,10018.45041817156
765,10017.825596014443
766,10017.992740577745
767,10018.382391247584
768,10018.17467624618
769,10018.837255742334
770,10019.516943715253
771,10018.935858411887
772,10018.732960462074
773,10018.411037734806
774,10018.03651901782
775,10018.465502398703
776,10018.208066180132
777,10017.3040013525
778,10018.108630453617
779,10018.95577418039
780,10018.87542697475
781,10017.876054973049
782,10015.804624997902
783,10015.912269457787
784,10017.229237068024
785,10017.876117415248
786,10018.196355476925
787,10017.92785460283
788,10017.876218273028
789,10017.792441337348
790,10017.842018512261
791,10017.778073917885
792,10017.412031693788
793,10017.767260243441
794,10017.047127854772
795,10016.496388707094
796,10016.524124392381
797,10016.629531990899
798,10016.481816320169
799,10016.061966504281
800,10014.995291058818
801,10014.914759425237
802,10014.023404734868
803,10013.795592214772
804,10014.30698221563
805,10014.152397638902
806,10012.919029336568
807,10014.175841100867
808,10013.84274847396
809,10014.305166638871
