Time,Open,High,Low,Close,Volume,average,barCount,spread,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2026-01-14 11:00:00-05:00,1.165985,1.166165,1.16527,1.165455,-1.0,-1.0,-1,0.0001,1.165605,1.1657199999999999,1.1651579166666666,1,0,0,0,1,0,1.165445,0,1,1,0,0,0,1.16601,0.0,2026-01-14 11:00:00-05:00,1.166165,False,False,0,0,0.0009325000000000028,0,0,0,0,0,0,-0.0004546546418778192,0
2026-01-14 12:00:00-05:00,1.165455,1.165585,1.16455,1.164675,-1.0,-1.0,-1,0.0001,1.165343,1.1650649999999998,1.1651979166666668,0,1,0,0,0,0,1.165445,0,1,1,0,0,0,1.16601,0.0,2026-01-14 12:00:00-05:00,1.166165,False,False,0,0,0.0009682142857143004,0,0,0,0,0,0,-0.0006694905684525748,0
2026-01-14 13:00:00-05:00,1.164675,1.16478,1.163795,1.163795,-1.0,-1.0,-1,0.0001,1.165101,1.164235,1.1651054166666668,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.166165,1.0,2026-01-14 13:00:00-05:00,1.166165,False,False,0,0,0.0010064285714285986,0,1,0,0,0,0,-0.0007558611808588972,0
2026-01-14 14:00:00-05:00,1.163795,1.163935,1.163535,1.163625,-1.0,-1.0,-1,0.0001,1.164707,1.16371,1.1650229166666668,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.166165,0.0,2026-01-14 14:00:00-05:00,1.166165,False,False,0,1,0.001010000000000019,0,0,0,0,0,0,-0.00014608450584968,0
2026-01-14 15:00:00-05:00,1.163625,1.16474,1.163625,1.16432,-1.0,-1.0,-1,0.0001,1.164374,1.1639724999999999,1.1649866666666668,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.166165,0.0,2026-01-14 15:00:00-05:00,1.16474,False,False,0,0,0.001027142857142893,0,0,0,0,0,0,0.0005970931621224193,1
2026-01-14 16:00:00-05:00,1.16432,1.164635,1.164215,1.16443,-1.0,-1.0,-1,0.0001,1.1641689999999998,1.1643750000000002,1.16492375,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.163535,2.0,2026-01-14 16:00:00-05:00,1.16474,False,False,0,0,0.0010028571428571784,0,0,1,0,0,0,9.447128294730081e-05,1
2026-01-14 17:15:00-05:00,1.1646,1.16472,1.16439,1.16439,-1.0,-1.0,-1,0.0001,1.1641119999999998,1.1644100000000002,1.16483,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.163535,0.0,2026-01-14 17:15:00-05:00,1.16474,True,False,0,0,0.0009592857142857339,0,0,0,0,0,1,-3.435216118378844e-05,0
2026-01-14 18:00:00-05:00,1.16439,1.16472,1.16439,1.1645,-1.0,-1.0,-1,0.0001,1.164253,1.1644450000000002,1.1648133333333333,0,0,1,0,0,1,1.165445,0,1,1,0,0,0,1.163535,0.0,2026-01-14 18:00:00-05:00,1.16474,False,False,1,0,0.0009271428571428724,0,0,0,0,0,0,9.446560385571993e-05,1
2026-01-14 19:00:00-05:00,1.1645,1.164555,1.16357,1.163765,-1.0,-1.0,-1,0.0001,1.1642810000000001,1.1641325,1.1646283333333332,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.163535,0.0,2026-01-14 19:00:00-05:00,1.164555,False,False,0,0,0.0009189285714285804,0,0,0,0,0,0,-0.0006313714499133647,0
2026-01-14 20:00:00-05:00,1.163765,1.16418,1.16332,1.163875,-1.0,-1.0,-1,0.0001,1.1641920000000001,1.1638199999999999,1.1645341666666666,0,0,0,1,0,1,1.165445,0,1,1,0,0,0,1.163535,0.0,2026-01-14 20:00:00-05:00,1.164555,False,True,0,0,0.0008992857142857215,0,0,0,0,0,0,9.4516334211348e-05,1
