Time,Open,High,Low,Close,Volume,average,barCount
2006-06-27 06:00:00-04:00,1.2581,1.2583,1.256325,1.25715,-1.0,-1.0,-1
2006-06-27 07:00:00-04:00,1.25715,1.25795,1.25655,1.256675,-1.0,-1.0,-1
2006-06-27 08:00:00-04:00,1.256675,1.259725,1.25635,1.259125,-1.0,-1.0,-1
2006-06-27 09:00:00-04:00,1.259125,1.26035,1.2587,1.259075,-1.0,-1.0,-1
2006-06-27 10:00:00-04:00,1.259075,1.260975,1.257825,1.25955,-1.0,-1.0,-1
2006-06-27 11:00:00-04:00,1.25955,1.2606,1.25815,1.2588,-1.0,-1.0,-1
2006-06-27 12:00:00-04:00,1.2588,1.25975,1.258025,1.259225,-1.0,-1.0,-1
2006-06-27 13:00:00-04:00,1.259225,1.2594,1.258125,1.258275,-1.0,-1.0,-1
2006-06-27 14:00:00-04:00,1.258275,1.258875,1.258125,1.258575,-1.0,-1.0,-1
2006-06-27 15:00:00-04:00,1.258575,1.259075,1.2581,1.25835,-1.0,-1.0,-1
2006-06-27 16:00:00-04:00,1.25835,1.25835,1.25745,1.25775,-1.0,-1.0,-1
2006-06-27 17:15:00-04:00,1.25845,1.25855,1.25735,1.25745,-1.0,-1.0,-1
2006-06-27 18:00:00-04:00,1.25745,1.25785,1.256625,1.25695,-1.0,-1.0,-1
2006-06-27 19:00:00-04:00,1.25695,1.257425,1.2567,1.25705,-1.0,-1.0,-1
2006-06-27 20:00:00-04:00,1.25705,1.25795,1.257,1.2578,-1.0,-1.0,-1
2006-06-27 21:00:00-04:00,1.2578,1.258225,1.2569,1.2573,-1.0,-1.0,-1
2006-06-27 22:00:00-04:00,1.2573,1.258425,1.257225,1.258275,-1.0,-1.0,-1
2006-06-27 23:00:00-04:00,1.258275,1.258275,1.257225,1.257475,-1.0,-1.0,-1
2006-06-28 00:00:00-04:00,1.257475,1.257675,1.257375,1.2574,-1.0,-1.0,-1
2006-06-28 01:00:00-04:00,1.2574,1.25765,1.257225,1.2574,-1.0,-1.0,-1
2006-06-28 02:00:00-04:00,1.2574,1.257925,1.256125,1.25735,-1.0,-1.0,-1
2006-06-28 03:00:00-04:00,1.25735,1.25755,1.2553,1.2564,-1.0,-1.0,-1
2006-06-28 04:00:00-04:00,1.2564,1.2575,1.2561,1.25705,-1.0,-1.0,-1
2006-06-28 05:00:00-04:00,1.25705,1.25725,1.2562,1.2565,-1.0,-1.0,-1
2006-06-28 06:00:00-04:00,1.2565,1.25735,1.2563,1.2566,-1.0,-1.0,-1
2006-06-28 07:00:00-04:00,1.2566,1.257,1.2561,1.2569,-1.0,-1.0,-1
2006-06-28 08:00:00-04:00,1.2569,1.2574,1.25455,1.25505,-1.0,-1.0,-1
2006-06-28 09:00:00-04:00,1.25505,1.2564,1.254625,1.2556,-1.0,-1.0,-1
2006-06-28 10:00:00-04:00,1.2556,1.25605,1.251625,1.252775,-1.0,-1.0,-1
2006-06-28 11:00:00-04:00,1.252775,1.2541,1.25265,1.25315,-1.0,-1.0,-1
2006-06-28 12:00:00-04:00,1.25315,1.254375,1.25235,1.253875,-1.0,-1.0,-1
2006-06-28 13:00:00-04:00,1.253875,1.2542,1.252975,1.254075,-1.0,-1.0,-1
2006-06-28 14:00:00-04:00,1.254075,1.255825,1.25385,1.255825,-1.0,-1.0,-1
2006-06-28 15:00:00-04:00,1.255825,1.25585,1.255125,1.255275,-1.0,-1.0,-1
2006-06-28 16:00:00-04:00,1.255275,1.255875,1.255175,1.255675,-1.0,-1.0,-1
2006-06-28 17:15:00-04:00,1.2558,1.2558,1.25475,1.254825,-1.0,-1.0,-1
2006-06-28 18:00:00-04:00,1.254825,1.2551,1.2539,1.254375,-1.0,-1.0,-1
2006-06-28 19:00:00-04:00,1.254375,1.254775,1.253675,1.25435,-1.0,-1.0,-1
2006-06-28 20:00:00-04:00,1.25435,1.254875,1.254025,1.254375,-1.0,-1.0,-1
2006-06-28 21:00:00-04:00,1.254375,1.254475,1.253975,1.2541,-1.0,-1.0,-1
2006-06-28 22:00:00-04:00,1.2541,1.25485,1.254075,1.25475,-1.0,-1.0,-1
2006-06-28 23:00:00-04:00,1.25475,1.25485,1.25425,1.254375,-1.0,-1.0,-1
2006-06-29 00:00:00-04:00,1.254375,1.2548,1.25415,1.254725,-1.0,-1.0,-1
2006-06-29 01:00:00-04:00,1.254725,1.255275,1.2544,1.254975,-1.0,-1.0,-1
2006-06-29 02:00:00-04:00,1.254975,1.25535,1.2541,1.25425,-1.0,-1.0,-1
2006-06-29 03:00:00-04:00,1.25425,1.25515,1.25425,1.25505,-1.0,-1.0,-1
2006-06-29 04:00:00-04:00,1.25505,1.25515,1.25335,1.254,-1.0,-1.0,-1
2006-06-29 05:00:00-04:00,1.254,1.25435,1.25235,1.25305,-1.0,-1.0,-1
2006-06-29 06:00:00-04:00,1.25305,1.25375,1.2526,1.252675,-1.0,-1.0,-1
2006-06-29 07:00:00-04:00,1.252675,1.253,1.25205,1.2528,-1.0,-1.0,-1
2006-06-29 08:00:00-04:00,1.2528,1.25555,1.2527,1.25495,-1.0,-1.0,-1
2006-06-29 09:00:00-04:00,1.25495,1.25525,1.25345,1.2536,-1.0,-1.0,-1
2006-06-29 10:00:00-04:00,1.2536,1.2552,1.253525,1.2539,-1.0,-1.0,-1
2006-06-29 11:00:00-04:00,1.2539,1.25455,1.25295,1.25335,-1.0,-1.0,-1
2006-06-29 12:00:00-04:00,1.25335,1.254475,1.25305,1.25395,-1.0,-1.0,-1
2006-06-29 13:00:00-04:00,1.25395,1.25485,1.25265,1.253175,-1.0,-1.0,-1
2006-06-29 14:00:00-04:00,1.253175,1.266775,1.252175,1.26645,-1.0,-1.0,-1
2006-06-29 15:00:00-04:00,1.26645,1.26655,1.26405,1.264675,-1.0,-1.0,-1
2006-06-29 16:00:00-04:00,1.264675,1.26655,1.26455,1.2665,-1.0,-1.0,-1
2006-06-29 17:15:00-04:00,1.2661,1.26695,1.26575,1.266725,-1.0,-1.0,-1
2006-06-29 18:00:00-04:00,1.266725,1.26685,1.266125,1.266175,-1.0,-1.0,-1
2006-06-29 19:00:00-04:00,1.266175,1.26685,1.26575,1.26645,-1.0,-1.0,-1
2006-06-29 20:00:00-04:00,1.26645,1.267375,1.266175,1.267125,-1.0,-1.0,-1
2006-06-29 21:00:00-04:00,1.267125,1.2717,1.267025,1.271,-1.0,-1.0,-1
2006-06-29 22:00:00-04:00,1.271,1.271525,1.269625,1.269625,-1.0,-1.0,-1
2006-06-29 23:00:00-04:00,1.269625,1.272125,1.269525,1.270725,-1.0,-1.0,-1
2006-06-30 00:00:00-04:00,1.270725,1.2716,1.2702,1.271325,-1.0,-1.0,-1
2006-06-30 01:00:00-04:00,1.271325,1.273375,1.271325,1.272475,-1.0,-1.0,-1
2006-06-30 02:00:00-04:00,1.272475,1.272825,1.26975,1.270325,-1.0,-1.0,-1
2006-06-30 03:00:00-04:00,1.270325,1.27245,1.27,1.27145,-1.0,-1.0,-1
2006-06-30 04:00:00-04:00,1.27145,1.27165,1.270375,1.2711,-1.0,-1.0,-1
2006-06-30 05:00:00-04:00,1.2711,1.2716,1.270575,1.27135,-1.0,-1.0,-1
2006-06-30 06:00:00-04:00,1.27135,1.272,1.270675,1.27115,-1.0,-1.0,-1
2006-06-30 07:00:00-04:00,1.27115,1.27145,1.2705,1.27055,-1.0,-1.0,-1
2006-06-30 08:00:00-04:00,1.27055,1.276775,1.27045,1.27475,-1.0,-1.0,-1
2006-06-30 09:00:00-04:00,1.27475,1.277,1.274175,1.27695,-1.0,-1.0,-1
2006-06-30 10:00:00-04:00,1.27695,1.27895,1.275325,1.278525,-1.0,-1.0,-1
2006-06-30 11:00:00-04:00,1.278525,1.27905,1.2771,1.277825,-1.0,-1.0,-1
2006-06-30 12:00:00-04:00,1.277825,1.278775,1.277575,1.278475,-1.0,-1.0,-1
2006-06-30 13:00:00-04:00,1.278475,1.278825,1.277725,1.277725,-1.0,-1.0,-1
2006-06-30 14:00:00-04:00,1.277725,1.278875,1.277725,1.278625,-1.0,-1.0,-1
2006-06-30 15:00:00-04:00,1.278625,1.278975,1.27845,1.278975,-1.0,-1.0,-1
2006-06-30 16:00:00-04:00,1.278975,1.27945,1.2788,1.2791,-1.0,-1.0,-1
2006-07-02 17:15:00-04:00,1.278625,1.27915,1.278375,1.2788,-1.0,-1.0,-1
2006-07-02 18:00:00-04:00,1.2788,1.2789,1.27815,1.2788,-1.0,-1.0,-1
2006-07-02 19:00:00-04:00,1.2788,1.2793,1.27825,1.279,-1.0,-1.0,-1
2006-07-02 20:00:00-04:00,1.279,1.27925,1.27805,1.278325,-1.0,-1.0,-1
2006-07-02 21:00:00-04:00,1.278325,1.278625,1.2769,1.27735,-1.0,-1.0,-1
2006-07-02 22:00:00-04:00,1.27735,1.278375,1.27735,1.278275,-1.0,-1.0,-1
2006-07-02 23:00:00-04:00,1.278275,1.2788,1.277875,1.278675,-1.0,-1.0,-1
2006-07-03 00:00:00-04:00,1.278675,1.278875,1.278325,1.2784,-1.0,-1.0,-1
2006-07-03 01:00:00-04:00,1.2784,1.278425,1.277875,1.278,-1.0,-1.0,-1
2006-07-03 02:00:00-04:00,1.278,1.27995,1.2777,1.27875,-1.0,-1.0,-1
2006-07-03 03:00:00-04:00,1.27875,1.278925,1.277225,1.27775,-1.0,-1.0,-1
2006-07-03 04:00:00-04:00,1.27775,1.278,1.2764,1.2772,-1.0,-1.0,-1
2006-07-03 05:00:00-04:00,1.2772,1.27765,1.27615,1.2771,-1.0,-1.0,-1
2006-07-03 06:00:00-04:00,1.2771,1.280375,1.27665,1.27955,-1.0,-1.0,-1
2006-07-03 07:00:00-04:00,1.27955,1.28085,1.2789,1.280025,-1.0,-1.0,-1
2006-07-03 08:00:00-04:00,1.280025,1.28005,1.2777,1.27835,-1.0,-1.0,-1
2006-07-03 09:00:00-04:00,1.27835,1.2795,1.27735,1.27815,-1.0,-1.0,-1
2006-07-03 10:00:00-04:00,1.27815,1.282275,1.2781,1.28025,-1.0,-1.0,-1
2006-07-03 11:00:00-04:00,1.28025,1.280325,1.27785,1.2793,-1.0,-1.0,-1
2006-07-03 12:00:00-04:00,1.2793,1.28045,1.278675,1.279625,-1.0,-1.0,-1
2006-07-03 13:00:00-04:00,1.279625,1.28115,1.2796,1.28085,-1.0,-1.0,-1
2006-07-03 14:00:00-04:00,1.28085,1.28085,1.279825,1.27995,-1.0,-1.0,-1
