Close,Low,Open,High,Time,returns,SMA_S,SMA_C,SMA_L,up_sma1,down_sma1,atr,volume,peak,crust,t_dir
1.395175,1.39445,1.396175,1.396175,2009-06-25 01:00:00+00:00,-0.0007162425913656012,1.3949225,1.40090375,1.400014,0,1,0.004096428571428572,0,0.0,0.0,0
1.39595,1.39355,1.395175,1.39635,2009-06-25 02:00:00+00:00,0.0005554858709480026,1.3946524999999999,1.4000437499999998,1.4002565000000002,0,1,0.0038678571428571373,0,0.0,1.0,0
1.396825,1.39535,1.39595,1.39735,2009-06-25 03:00:00+00:00,0.0006268132812778937,1.3944874999999999,1.3993224999999998,1.4004839999999998,0,1,0.003619642857142843,0,0.0,0.0,0
1.396375,1.395725,1.396825,1.39755,2009-06-25 04:00:00+00:00,-0.0003221591824316139,1.3948825,1.39865875,1.4007250000000002,1,0,0.003491071428571413,0,0.0,0.0,0
1.39645,1.39555,1.396375,1.39695,2009-06-25 05:00:00+00:00,5.371050040281489e-05,1.3951025000000001,1.39798625,1.4009295,1,0,0.003337499999999977,0,0.0,0.0,0
1.39705,1.39585,1.39645,1.398325,2009-06-25 06:00:00+00:00,0.0004296609259193396,1.395515,1.3974775,1.4011395,1,0,0.0029714285714285455,0,1.0,0.0,0
1.39535,1.392825,1.39705,1.39725,2009-06-25 07:00:00+00:00,-0.0012168497906300813,1.3957525,1.3971325,1.4013750000000003,1,0,0.0031160714285714147,0,0.0,1.0,0
1.39735,1.39505,1.39535,1.39775,2009-06-25 08:00:00+00:00,0.0014333321388899645,1.3960925000000002,1.39661625,1.4015914999999999,1,0,0.0025017857142857042,0,0.0,0.0,0
1.39445,1.39425,1.39735,1.39825,2009-06-25 09:00:00+00:00,-0.0020753569256092286,1.396115,1.39618,1.401688,1,0,0.0023446428571428485,0,1.0,0.0,0
1.393325,1.393125,1.39445,1.394975,2009-06-25 10:00:00+00:00,-0.0008067696941447267,1.3958300000000001,1.39568875,1.4017335,0,1,0.0023196428571428595,0,0.0,0.0,0
1.392925,1.39215,1.393325,1.39605,2009-06-25 11:00:00+00:00,-0.0002870830567167637,1.3956050000000002,1.39526375,1.401739,0,1,0.002457142857142856,0,0.0,0.0,0
1.390325,1.389925,1.392925,1.39435,2009-06-25 12:00:00+00:00,-0.0018665757309258568,1.3950425,1.3948475,1.4016245,0,1,0.00265714285714285,0,0.0,0.0,0
1.393775,1.38985,1.390325,1.393925,2009-06-25 13:00:00+00:00,0.0024814341970402776,1.3947375,1.3946125,1.4015650000000002,0,1,0.0028696428571428623,0,0.0,0.0,0
1.39045,1.38895,1.393775,1.39635,2009-06-25 14:00:00+00:00,-0.002385607433050496,1.394145,1.39451375,1.4013769999999999,0,1,0.003214285714285725,0,1.0,1.0,0
1.395325,1.38935,1.39045,1.39535,2009-06-25 15:00:00+00:00,0.0035060591894711113,1.3940325,1.3945675,1.4012454999999997,0,1,0.00351964285714287,0,0.0,0.0,0
1.39415,1.39265,1.395325,1.395325,2009-06-25 16:00:00+00:00,-0.0008420977191693213,1.3937425,1.39462875,1.4011095,0,1,0.0035107142857143036,0,0.0,0.0,0
