,Time,action,Ren_Value,Blue,Red,dir,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,HI_Value,BearWarning,BullWarning,OBV,VWAP,bullish_engulfing,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,hammer,hanging_man,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,shooting_star,star,Open,High,Low,Close,volume,complete,spread,returns,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,peak,crust,atr,buy_renko,sell_renko,neg_buy_renko,neg_sell_renko,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,t_dir
3622,2/14/2023 3:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,211678,1.024697293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07315,1.07353,1.07289,1.07339,1640,1,0.00014,0.000242253,1.073128,1.07326,1.072523333,1,0,0,0,1,0,0,0,0.001200714,1,0,0,0,0,0,0,0,0,0,1
3623,2/14/2023 4:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,213340,1.024701399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07338,1.07393,1.07313,1.07374,1662,1,0.00014,0.000326017,1.073266,1.073565,1.0727,1,0,0,0,1,0,0,0,0.001038571,1,0,0,0,0,0,0,0,0,0,1
3624,2/14/2023 5:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,215449,1.024706612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07371,1.07392,1.07346,1.07377,2109,1,0.00014,2.79E-05,1.073366,1.073755,1.0728675,1,0,0,0,1,0,0,0,0.00089,1,0,0,0,0,0,0,0,0,0,1
3625,2/14/2023 6:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,218394,1.0247139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07375,1.07424,1.07333,1.07384,2945,1,0.00014,6.52E-05,1.073574,1.073805,1.072960833,1,0,0,0,1,0,0,0,0.000861429,1,0,0,0,0,0,0,0,0,0,1
3626,2/14/2023 7:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,1,0,213287,1.024726356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0739,1.0746,1.07281,1.07313,5107,1,0.00016,-0.000661397,1.073574,1.073485,1.0730825,0,1,0,0,1,0,0,1,0.000946429,1,0,0,0,0,0,0,0,0,0,0
3627,2/14/2023 8:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,219187,1.024741229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07314,1.07496,1.07281,1.07478,5900,1,0.00017,0.001536378,1.073852,1.073955,1.073296667,1,0,0,0,1,0,0,0,0.000969286,1,0,0,0,0,0,0,0,0,0,1
3628,2/14/2023 9:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,0,0,225051,1.024756374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07483,1.07662,1.07438,1.07607,5864,1,0.00014,0.001199526,1.074318,1.075425,1.07361,1,0,0,0,1,0,1,0,0.001043571,1,0,0,0,0,0,0,0,0,0,1
3629,2/14/2023 10:00,0,1.07362,1,0,0,0,0,0,1.07362,0,1.06786,1,0,219903,1.024769515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07606,1.07656,1.07479,1.0755,5148,1,0.00014,-0.000529846,1.074664,1.075785,1.0738725,1,0,0,0,1,0,0,0,0.001101429,1,0,0,0,0,0,0,0,0,0,0
3630,2/14/2023 11:00,0,1.07362,1,0,0,0,0,0,1.07662,1,1.06786,1,0,215452,1.024780863,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.07548,1.07644,1.07505,1.07545,4451,1,0.00015,-4.65E-05,1.074986,1.075475,1.0740725,1,0,0,0,1,0,0,0,0.00117,1,0,0,0,1,0,0,0,0,0,0
3631,2/14/2023 12:00,0,1.07362,1,0,0,0,0,0,1.07662,0,1.06786,0,0,221236,1.024795682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07544,1.07674,1.0748,1.07573,5784,1,0.00015,0.000260322,1.075506,1.07559,1.0742775,1,0,0,0,1,0,0,0,0.001262143,1,0,0,0,0,0,0,0,0,0,1
